Month/Year,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025
DELHI,267,341,246,176,153,163,71,175,219,161,133,304,306,284,339,250,15606,15610,18841,20572,18765,23408,8014,12146,20810,17733,18459,24327,22216,25057,28831,30292,16496,14480,21071,22027,19655,21055,11784,14395,22550,21038,22631,26259,25427,24331,30638,35234,9911,8669,11559,11592,10049,9809,7174,8749,13447,12944,13735,15281,16848,13487,17291,20863,17395,12464,16490,17849,14649,14327,12206,12116,18937,21082,21396,23164,28159,20739,27699,33571,19550,9993,11683,14195,11065,10421,10491,12043,15577,20888,20172,21414,28354,18976,23795,30418,79225,61557,79890,86411,74336,79183,49740,59624,91540,93846,96526,110749,121310,102874,128593,150628
ANDHRA PRADESH,215,210,229,180,128,122,87,137,188,201,220,211,217,222,241,192,4740,5282,6025,6026,4123,4275,2917,4160,4077,5124,5675,5093,4853,6026,7214,6924,4240,3525,5425,4574,4298,4043,3101,3991,4022,4611,5509,5370,4059,4634,7218,7961,2281,2014,3019,686,1824,2109,2031,1975,2245,2874,3152,3228,2412,2690,4283,4609,4493,3298,5125,701,3395,4410,4025,3260,3952,6084,6779,6598,5395,5353,8830,9215,5903,2842,4676,4598,462,3883,5059,2124,3473,7093,8375,5347,7786,6450,11920,10558,21872,17171,24499,16765,14230,18842,17220,15647,17957,25987,29710,25847,24722,25375,39706,39459
MADHYA PRADESH,177,199,137,143,87,124,56,75,116,98,108,133,212,206,189,109,5481,6369,5691,6519,4561,4386,2123,4043,5446,5601,5440,5862,6237,7572,8257,7366,5084,5830,5584,7375,4574,4516,2502,4553,5523,6166,6485,5999,5659,7141,8311,9525,3140,3465,2673,4316,2353,2134,1597,2433,3117,3726,4157,3581,2821,4363,4481,5431,5082,5716,4157,7507,4219,3285,3005,4328,5241,6682,7800,5873,4740,8182,7819,9767,4428,4952,2416,6413,3878,2758,2752,4455,4065,7203,8240,5660,5552,8219,6981,10418,23392,26531,20658,32273,19672,17203,12035,19887,23508,29476,32230,27108,25221,35683,36038,42616
WEST BENGAL,182,155,139,143,105,94,91,80,150,98,95,121,141,133,120,103,8747,9460,8673,10261,8485,8534,4749,5488,8040,8957,9051,8928,9909,9796,10823,10901,10042,10664,8822,11242,9921,9169,4707,7212,9142,10582,10962,10226,11599,9613,12390,14298,5911,6056,4017,6705,5581,4718,1933,4089,5385,6322,6251,5861,7410,5015,7031,8405,10101,9690,5268,10487,9418,7639,3001,6218,8141,11132,10865,9577,13185,8425,11421,14283,10202,7636,359,8370,7565,6274,1274,3159,5260,9813,11147,8755,15426,8922,11200,14141,45185,43661,27278,47208,41075,36428,15755,26246,36118,46904,48371,43468,57670,41904,52985,62131
HIMACHAL PRADESH,185,180,104,88,79,57,-12,38,98,70,81,172,162,191,166,87,2743,3652,2242,2280,2006,1603,-1329,1376,2461,2452,1905,2996,2571,3252,3678,3156,1708,2177,1515,1761,1399,1161,-1089,973,1861,1944,1743,2393,1904,2162,2996,3084,1093,1024,966,902,820,677,-609,711,901,974,985,1223,1090,1135,1633,1737,1737,1357,1174,1282,936,858,-477,1140,1297,1413,1472,1781,1822,1710,2445,2693,2100,1149,695,1079,628,689,-664,811,1061,1286,1565,1564,1854,1497,2041,2712,9566,9539,6696,7392,5868,5045,-4180,5049,7679,8139,7751,10129,9403,9947,12959,13469
GOA,113,79,45,50,43,36,18,50,27,53,38,65,76,105,71,60,1885,2544,1519,1442,1430,1403,1083,1509,1631,1753,1717,1925,1790,2287,2440,2470,1823,1897,1309,1416,1384,1140,740,1377,1498,1833,1825,2136,1622,1741,2237,2540,868,735,449,638,670,556,173,611,717,812,1117,1167,852,716,1207,1417,1184,1014,542,752,879,629,-118,743,853,872,1595,1423,1113,991,1510,1748,1001,651,131,536,528,431,390,683,489,665,1457,1065,1200,804,1006,1347,6874,6920,3995,4834,4934,4195,2286,4973,5215,5988,7749,7781,6653,6644,8471,9582
CHATTISGARH,59,76,51,83,22,46,32,28,47,34,34,39,55,58,58,42,1952,2049,2107,2948,1689,1689,669,1529,1611,2133,1850,1903,2312,2463,2840,2843,2371,2104,2416,3415,2253,2316,885,1803,2095,3053,2277,2621,2918,2585,3626,3776,1554,1126,1283,2195,1409,1343,626,1148,1235,2170,1464,1620,1833,1594,2521,2567,3006,1621,2195,3700,2776,2192,1236,2135,2742,4354,3103,2728,3246,2886,4378,4489,3640,1297,1728,3563,1984,2130,1500,2186,2923,5169,4050,2610,3512,3002,4312,5063,12582,8273,9780,15904,10133,9716,4948,8829,10653,16913,12778,11521,13876,12588,17735,18780
ORISSA,55,73,51,86,51,43,28,38,64,58,59,43,54,60,43,70,3456,3576,3342,4067,3590,2964,2291,2749,2979,3175,3287,2904,3146,4181,3848,3794,4755,4322,3311,4439,4234,3131,5123,3809,4062,4466,4155,3776,3893,5546,4468,5115,2941,2470,1857,2670,2678,2074,4468,2437,2866,3224,2962,2682,2654,3521,2760,3757,5143,4545,3042,4363,4275,3486,5635,3376,3733,5298,4866,4106,5517,5523,4499,7231,5363,4645,829,3794,4528,4188,4551,4690,3992,6211,5422,4357,7025,5957,3571,9570,21713,19631,12432,19419,19356,15886,22096,17099,17696,22432,20751,17868,22289,24788,19189,29537
PUNJAB,39,43,18,25,23,27,19,20,21,16,26,10,46,38,30,35,1997,2637,2521,2143,2145,2236,649,1287,2169,2307,2132,2581,2184,2399,3204,3251,1304,1714,1652,1607,1847,1890,818,1216,1706,2061,2006,2158,2099,2192,2734,3428,731,799,832,992,737,1107,536,553,874,1376,1224,1407,1336,1339,1730,2536,1969,1398,1136,1150,1419,2041,1725,1298,1668,2535,2357,2797,2821,2698,3113,5031,2594,1042,-552,699,38,3450,3329,1555,1553,3506,3129,2903,3554,3292,3756,6893,8634,7633,5607,6616,6209,10751,7076,5929,7991,11801,10874,11856,12040,11958,14567,21174
CHANDIGARH,81,42,30,32,30,18,16,31,46,30,46,57,45,59,85,52,2518,2918,2182,2473,1638,2131,203,2154,2894,2916,3087,3747,2888,3302,4256,4023,2360,2173,1738,2762,1396,2101,817,1708,2178,2682,2790,3447,3029,3284,4027,4808,1536,1098,832,1438,491,1168,710,986,1427,1431,1760,2083,2124,1903,2451,2792,3350,1360,1173,2730,1111,1687,2577,1200,2498,2674,3083,3300,4087,2828,4172,5053,3609,1214,599,2879,754,2115,2797,678,2566,3775,3592,3204,5307,2861,4175,5223,13454,8805,6554,12314,5420,9220,7120,6757,11609,13508,14358,15838,17480,14237,19166,21951
