Month/Year,01-05-2024,01-05-2024,01-05-2024,01-06-2024,01-06-2024,01-06-2024,01-07-2024,01-07-2024,01-07-2024,01-08-2024,01-08-2024,01-08-2024,01-09-2024,01-09-2024,01-09-2024,01-10-2024,01-10-2024,01-10-2024,01-11-2024,01-11-2024,01-11-2024,01-12-2024,01-12-2024,01-12-2024,01-12-2024,01-12-2024,01-12-2024,01-01-2025,01-01-2025,01-01-2025,01-02-2025,01-02-2025,01-02-2025,01-03-2025,01-03-2025,01-03-2025,01-04-2025,01-04-2025,01-04-2025,01-05-2025,01-05-2025,01-05-2025,01-06-2025,01-06-2025,01-06-2025,01-07-2025,01-07-2025,01-07-2025,01-08-2025,01-08-2025,01-08-2025
State / UT,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Pax Intl,Pax Dom,Pax Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total,Mov Intl,Mov Dom,Mov Total
Lakshadweep,0,286,286,0,328,328,0,308,308,0,364,364,0,380,380,0,368,368,0,404,404,0,302,302,0,12582,12582,0,326,326,0,306,306,0,314,314,0,312,312,0,309,309,0,296,296,0,952,952,0,852,852
Madhya Pradesh,35,4801,4836,27,4502,4529,29,4608,4637,34,4589,4623,36,4510,4546,36,4660,4696,34,4799,4833,36,5290,5326,4821,571602,576423,34,5318,5352,36,5297,5333,37,5349,5386,36,5320,5356,35,5307,5342,34,5178,5212,0,292,292,0,314,314
Maharashtra,7626,31974,39600,7420,30897,38317,7830,30860,38690,7820,32178,39998,7706,31395,39101,7846,32591,40437,7749,32532,40281,8373,32881,41254,1546501,4957425,6503926,8296,32623,40919,8245,32700,40945,8372,32831,41203,8333,32772,41105,8292,32690,40982,8179,32019,40198,26,4549,4575,36,4359,4395
Manipur,0,1006,1006,0,1091,1091,0,1072,1072,2,992,994,0,1043,1043,0,1021,1021,0,1083,1083,0,1028,1028,0,123375,123375,0,996,996,0,976,976,0,982,982,0,974,974,0,970,970,0,949,949,8123,30506,38629,8249,30501,38750
Meghalaya,0,306,306,0,294,294,0,244,244,0,256,256,0,224,224,0,210,210,0,192,192,0,176,176,0,8688,8688,0,166,166,0,165,165,0,166,166,0,165,165,0,162,162,0,157,157,0,834,834,0,796,796
Mizoram,0,404,404,0,422,422,0,477,477,0,365,365,0,390,390,0,376,376,0,374,374,0,416,416,0,47315,47315,0,402,402,0,398,398,0,399,399,0,398,398,0,396,396,0,389,389,0,114,114,0,118,118
Nagaland,0,331,331,0,284,284,0,355,355,0,316,316,0,412,412,0,300,300,0,363,363,0,452,452,0,36524,36524,0,469,469,0,454,454,0,458,458,0,457,457,0,453,453,0,446,446,0,282,282,0,281,281
Odisha,66,3619,3685,84,3146,3230,91,3137,3228,82,3562,3644,83,3529,3612,78,3562,3640,80,3431,3511,85,3587,3672,12996,456941,469937,83,3851,3934,81,3855,3936,85,3894,3979,84,3879,3963,82,3871,3953,81,3774,3855,0,256,256,0,342,342
Puducherry,0,76,76,0,74,74,0,78,78,0,88,88,0,0,0,0,86,86,0,58,58,0,130,130,0,3893,3893,0,218,218,0,224,224,0,226,226,0,225,225,0,223,223,0,212,212,94,3611,3705,93,3595,3688
Punjab,476,1749,2225,493,1623,2116,507,1607,2114,522,1612,2134,0,0,0,535,1689,2224,549,1529,2078,596,1626,2222,110670,235922,346592,613,1566,2179,610,1563,2173,612,1582,2194,611,1574,2185,608,1563,2171,596,1504,2100,0,124,124,0,122,122
Rajasthan,283,5332,5615,273,5124,5397,329,5295,5624,299,5361,5660,0,0,0,293,6059,6352,304,6207,6511,350,6694,7044,50504,858271,908775,391,6521,6912,377,6410,6787,385,6476,6861,382,6453,6835,381,6431,6812,369,6244,6613,476,1316,1792,472,1154,1626
Sikkim,0,82,82,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,4560,4928,393,4474,4867
Tamil Nadu,4267,13105,17372,4189,12652,16841,4317,13011,17328,4333,13249,17582,0,0,0,4378,13562,17940,4210,13549,17759,4619,14802,19421,709115,1973559,2682674,4686,14888,19574,4647,14729,19376,4704,14924,19628,4693,14890,19583,4684,14864,19548,4565,14425,18990,4753,13507,18260,4735,13726,18461
Telangana,2487,13952,16439,2479,13320,15799,2666,13942,16608,2577,14260,16837,0,0,0,2556,15607,18163,2467,14809,17276,2520,15675,18195,425807,2280736,2706543,2522,15616,18138,2500,15527,18027,2511,15627,18138,2505,15573,18078,2495,15547,18042,2440,15240,17680,2847,14535,17382,2834,14587,17421
Tripura,0,750,750,0,814,814,0,842,842,0,900,900,0,0,0,0,972,972,0,812,812,0,844,844,0,130337,130337,0,774,774,0,772,772,0,776,776,0,774,774,0,770,770,0,743,743,0,980,980,0,918,918
Uttar Pradesh,724,8578,9302,711,7436,8147,726,7659,8385,728,7787,8515,0,0,0,736,8265,9001,736,8078,8814,734,7782,8516,119257,1106660,1225917,758,8235,8993,736,8243,8979,740,8278,9018,738,8260,8998,735,8241,8976,714,7960,8674,630,7108,7738,668,7462,8130
Uttarakhand,0,1628,1628,0,1762,1762,0,1781,1781,0,1781,1781,0,0,0,0,1700,1700,0,1556,1556,0,1581,1581,0,150245,150245,0,1552,1552,0,1549,1549,0,1560,1560,0,1557,1557,0,1552,1552,0,1513,1513,0,1558,1558,0,1390,1390
West Bengal,1838,12922,14760,1716,12697,14413,1776,12474,14250,1488,12944,14432,0,0,0,1488,14051,15539,1445,13124,14569,1615,13533,15148,224469,2107058,2331527,1672,13087,14759,1642,13028,14670,1662,13104,14766,1659,13088,14747,1656,13063,14719,1601,12795,14396,1499,11783,13282,1436,11763,13199
Total,38155,201326,239481,37561,192,,39115,193429,232544,39030,199159,238189,0,0,0,39080,207684,246764,38135,203118,241253,41117,210194,251311,7145769,30395696,37541465,41543,207905,249448,41216,205750,246966,41285,206798,248083,41202,206614,247816,41112,206258,247370,40698,202999,243697,40709,187913,228622,40944,189177,230121
