Month-Year,01-05-2024,01-05-2024,01-05-2024,01-06-2024,01-06-2024,01-06-2024,01-07-2024,01-07-2024,01-07-2024,01-08-2024,01-08-2024,01-08-2024,01-09-2024,01-09-2024,01-09-2024,01-10-2024,01-10-2024,01-10-2024,01-11-2024,01-11-2024,01-11-2024,01-12-2024,01-12-2024,01-12-2024,01-01-2025,01-01-2025,01-01-2025,01-02-2025,01-02-2025,01-02-2025,01-03-2025,01-03-2025,01-03-2025,01-04-2025,01-04-2025,01-04-2025,01-05-2025,01-05-2025,01-05-2025,01-06-2025,01-06-2025,01-06-2025,01-07-2025,01-07-2025,01-07-2025,01-08-2025,01-08-2025,01-08-2025
State / UT,Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT),Fgt Intl (MT),Fgt Dom (MT),Fgt Total (MT)
Jharkhand,0,987.4,987.4,0,466.8,466.8,0,486,486,0,491.4,491.4,0,517.3,517.3,0,603.6,603.6,0,424.8,424.8,0,465.6,465.6,0,490.3,490.3,0,491.1,491.1,0,496.8,496.8,0,493.9,493.9,0,491.7,491.7,0,480.8,480.8,2.4,786,788.4,10.8,740.1,751
Karnataka,27400.1,16464.1,43864.2,26795.7,15766.6,42562.3,29042.4,16623.5,45665.9,27753.1,15901.9,43655,26767.5,17360.5,44128,27894.8,16664.6,44559.4,25078.4,13856.4,38934.8,25628,14969.1,40597,25209.2,13662.3,38871.5,25327.3,13734.8,39062.1,25456.3,13763.5,39219.8,25378.9,13711.2,39090.1,25333.5,13704.4,39037.9,24997.1,13436.2,38433.3,0,745.6,745.6,0,708.5,708.5
Kerala,8219.1,1407.9,9627,7882.4,1543.9,9426.3,8709.4,1598.9,10308.3,8423,1583.4,10006.4,7841,1636,9477,7636.3,1730.7,9367,6543.1,1062.9,7605.9,6646.2,1693.2,8339.3,7598.1,1866.5,9464.7,7489,1856.2,9345.2,7551.1,1861.6,9412.7,7532,1854.4,9386.4,7514.4,1847.9,9362.3,7347.3,1806.1,9153.4,30242.2,17627.4,47869.6,28523.5,16734.4,45257.9
Ladakh,0,231,231,0,142.4,142.4,0,158.1,158.1,0,138.9,138.9,0,132.8,132.8,0,121.6,121.6,0,104.5,104.5,0,155.1,155.1,0,160.6,160.6,0,163.5,163.5,0,165.9,165.9,0,165.1,165.1,0,163.9,163.9,0,159.4,159.4,8258.1,1560.7,9818.9,9244.8,1955.2,11200
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.5,158.5,0,133.5,133.5
Madhya Pradesh,0.1,1047.2,1047.4,0,1058.6,1058.6,0,1098,1098,0,1051.2,1051.2,0,990.6,990.6,7.8,1213.2,1221,0.1,948,948,0,1006.4,1006.4,0,1079.3,1079.3,0,1053.1,1053.1,0,1063.4,1063.4,0,1058.1,1058.1,0,1054.6,1054.6,0,1036.1,1036.1,0,0,0,0,0,0
Maharashtra,53277.4,24945.4,78222.8,56148,24492.1,80640,56071.3,24796,80867.3,54545.7,24191,78736.7,55917.1,24534.6,80451.7,58081.4,26204.8,84286.2,52706.8,22897.1,75603.8,54896.9,24463.8,79360.7,52046.9,23117.9,75164.8,51833.2,23118.8,74952,52019.2,23203.8,75223,51954.2,23167.3,75121.5,51833.6,23141.5,74975.1,51227.3,22867.1,74094.4,0,1131.1,1131.1,0,1269.6,1269.6
Manipur,0,408.8,408.8,0,498.3,498.3,0,478.9,478.9,0,573.3,573.3,0,614.7,614.7,0,513,513,0,670.3,670.3,0,647.6,647.6,0,558.9,558.9,0,544.4,544.4,0,549.8,549.8,0,548,548,0,546.4,546.4,0,530.8,530.8,57941.8,24888,82829.8,58394,23119.3,81513.3
Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.8,535.8,0,568.4,568.4
Mizoram,0,75.5,75.5,0,87.9,87.9,0,92.2,92.2,0,90.3,90.3,0,119.3,119.3,0,120.7,120.7,0,160.2,160.2,0,158.9,158.9,0,139.3,139.3,0,137.9,137.9,0,140.2,140.2,0,139.9,139.9,0,138.8,138.8,0,134.1,134.1,0,0,0,0,0,0
